frame_id,source,frame,camera,folder,blur,brightness,blur_bin,brightness_bin,max_conf,conf_band,n_boxes,max_area_frac,large_box
ALLFISHDATA/Predator camera/DCIM/100GOPRO/GOPR8584.JPG,ALLFISHDATA,Predator camera/DCIM/100GOPRO/GOPR8584.JPG,Predator,ALLFISHDATA/Predator camera/DCIM/100GOPRO,33.0,8.1,low,low,0.222,low,1,0.001450,no
ALLFISHDATA/Predator camera/DCIM/100GOPRO/GOPR8635.JPG,ALLFISHDATA,Predator camera/DCIM/100GOPRO/GOPR8635.JPG,Predator,ALLFISHDATA/Predator camera/DCIM/100GOPRO,11.2,3.7,low,low,0.453,mid,2,0.032765,no
ALLFISHDATA/Predator camera/DCIM/100GOPRO/GOPR8659.JPG,ALLFISHDATA,Predator camera/DCIM/100GOPRO/GOPR8659.JPG,Predator,ALLFISHDATA/Predator camera/DCIM/100GOPRO,7.2,2.8,low,low,0.603,high,2,0.050367,no
ALLFISHDATA/Predator camera/DCIM/100GOPRO/GOPR8825.JPG,ALLFISHDATA,Predator camera/DCIM/100GOPRO/GOPR8825.JPG,Predator,ALLFISHDATA/Predator camera/DCIM/100GOPRO,2.9,0.5,low,low,0.000,none,0,0.000000,no
ALLFISHDATA/Predator camera/DCIM/100GOPRO/GOPR8930.JPG,ALLFISHDATA,Predator camera/DCIM/100GOPRO/GOPR8930.JPG,Predator,ALLFISHDATA/Predator camera/DCIM/100GOPRO,44.8,114.5,low,high,0.636,high,3,0.012918,no
ALLFISHDATA/Predator camera/DCIM/100GOPRO/GOPR8931.JPG,ALLFISHDATA,Predator camera/DCIM/100GOPRO/GOPR8931.JPG,Predator,ALLFISHDATA/Predator camera/DCIM/100GOPRO,43.9,115.2,low,high,0.241,low,2,0.003834,no
ALLFISHDATA/Predator camera/DCIM/100GOPRO/GOPR8936.JPG,ALLFISHDATA,Predator camera/DCIM/100GOPRO/GOPR8936.JPG,Predator,ALLFISHDATA/Predator camera/DCIM/100GOPRO,87.4,116.1,high,high,0.325,mid,2,0.004081,no
ALLFISHDATA/Predator camera/DCIM/100GOPRO/GOPR8991.JPG,ALLFISHDATA,Predator camera/DCIM/100GOPRO/GOPR8991.JPG,Predator,ALLFISHDATA/Predator camera/DCIM/100GOPRO,51.9,126.5,mid,high,0.103,low,1,0.001981,no
ALLFISHDATA/Predator camera/DCIM/100GOPRO/GOPR9000.JPG,ALLFISHDATA,Predator camera/DCIM/100GOPRO/GOPR9000.JPG,Predator,ALLFISHDATA/Predator camera/DCIM/100GOPRO,54.8,126.2,mid,high,0.321,mid,1,0.001537,no
ALLFISHDATA/Predator camera/DCIM/101GOPRO/GOPR9014.JPG,ALLFISHDATA,Predator camera/DCIM/101GOPRO/GOPR9014.JPG,Predator,ALLFISHDATA/Predator camera/DCIM/101GOPRO,44.0,118.0,low,high,0.685,high,2,0.010920,no
ALLFISHDATA/Predator camera/DCIM/101GOPRO/GOPR9058.JPG,ALLFISHDATA,Predator camera/DCIM/101GOPRO/GOPR9058.JPG,Predator,ALLFISHDATA/Predator camera/DCIM/101GOPRO,57.3,118.6,mid,high,0.000,none,0,0.000000,no
ALLFISHDATA/Predator camera/DCIM/101GOPRO/GOPR9072.JPG,ALLFISHDATA,Predator camera/DCIM/101GOPRO/GOPR9072.JPG,Predator,ALLFISHDATA/Predator camera/DCIM/101GOPRO,43.3,120.2,low,high,0.441,mid,1,0.009156,no
ALLFISHDATA/Predator camera/DCIM/101GOPRO/GOPR9083.JPG,ALLFISHDATA,Predator camera/DCIM/101GOPRO/GOPR9083.JPG,Predator,ALLFISHDATA/Predator camera/DCIM/101GOPRO,41.7,119.2,low,high,0.171,low,4,0.010432,no
ALLFISHDATA/Predator camera/DCIM/101GOPRO/GOPR9229.JPG,ALLFISHDATA,Predator camera/DCIM/101GOPRO/GOPR9229.JPG,Predator,ALLFISHDATA/Predator camera/DCIM/101GOPRO,53.0,132.2,mid,high,0.483,mid,1,0.001845,no
ALLFISHDATA/Predator camera/DCIM/101GOPRO/GOPR9232.JPG,ALLFISHDATA,Predator camera/DCIM/101GOPRO/GOPR9232.JPG,Predator,ALLFISHDATA/Predator camera/DCIM/101GOPRO,58.0,130.5,mid,high,0.670,high,1,0.001795,no
ALLFISHDATA/Predator camera/DCIM/101GOPRO/GOPR9284.JPG,ALLFISHDATA,Predator camera/DCIM/101GOPRO/GOPR9284.JPG,Predator,ALLFISHDATA/Predator camera/DCIM/101GOPRO,51.6,129.5,mid,high,0.139,low,2,0.014112,no
ALLFISHDATA/Predator camera/DCIM/101GOPRO/GOPR9314.JPG,ALLFISHDATA,Predator camera/DCIM/101GOPRO/GOPR9314.JPG,Predator,ALLFISHDATA/Predator camera/DCIM/101GOPRO,707.6,120.9,high,high,0.154,low,1,0.092256,no
ALLFISHDATA/Predator camera/DCIM/101GOPRO/GOPR9335.JPG,ALLFISHDATA,Predator camera/DCIM/101GOPRO/GOPR9335.JPG,Predator,ALLFISHDATA/Predator camera/DCIM/101GOPRO,68.8,114.7,high,high,0.731,high,4,0.010499,no
ALLFISHDATA/Predator camera/DCIM/101GOPRO/GOPR9348.JPG,ALLFISHDATA,Predator camera/DCIM/101GOPRO/GOPR9348.JPG,Predator,ALLFISHDATA/Predator camera/DCIM/101GOPRO,67.2,112.6,high,high,0.000,none,0,0.000000,no
ALLFISHDATA/Predator camera/DCIM/101GOPRO/GOPR9349.JPG,ALLFISHDATA,Predator camera/DCIM/101GOPRO/GOPR9349.JPG,Predator,ALLFISHDATA/Predator camera/DCIM/101GOPRO,69.1,112.6,high,high,0.450,mid,2,0.004448,no
ALLFISHDATA/Predator camera/DCIM/101GOPRO/GOPR9423.JPG,ALLFISHDATA,Predator camera/DCIM/101GOPRO/GOPR9423.JPG,Predator,ALLFISHDATA/Predator camera/DCIM/101GOPRO,70.7,62.7,high,low,0.402,mid,1,0.003491,no
ALLFISHDATA/Predator camera/DCIM/101GOPRO/GOPR9425.JPG,ALLFISHDATA,Predator camera/DCIM/101GOPRO/GOPR9425.JPG,Predator,ALLFISHDATA/Predator camera/DCIM/101GOPRO,116.6,61.8,high,low,0.238,low,1,0.003190,no
ALLFISHDATA/Predator camera/DCIM/101GOPRO/GOPR9885.JPG,ALLFISHDATA,Predator camera/DCIM/101GOPRO/GOPR9885.JPG,Predator,ALLFISHDATA/Predator camera/DCIM/101GOPRO,0.3,0.0,low,low,0.000,none,0,0.000000,no
ALLFISHDATA/Predator camera/DCIM/101GOPRO/GOPR9910.JPG,ALLFISHDATA,Predator camera/DCIM/101GOPRO/GOPR9910.JPG,Predator,ALLFISHDATA/Predator camera/DCIM/101GOPRO,8.2,2.4,low,low,0.281,mid,1,0.001231,no
ALLFISHDATA/Predator camera/DCIM/101GOPRO/GOPR9923.JPG,ALLFISHDATA,Predator camera/DCIM/101GOPRO/GOPR9923.JPG,Predator,ALLFISHDATA/Predator camera/DCIM/101GOPRO,146.5,38.5,high,low,0.603,high,1,0.004433,no
ALLFISHDATA/Predator camera/DCIM/101GOPRO/GOPR9925.JPG,ALLFISHDATA,Predator camera/DCIM/101GOPRO/GOPR9925.JPG,Predator,ALLFISHDATA/Predator camera/DCIM/101GOPRO,139.9,51.7,high,low,0.000,none,0,0.000000,no
ALLFISHDATA/Predator camera/DCIM/101GOPRO/GOPR9994.JPG,ALLFISHDATA,Predator camera/DCIM/101GOPRO/GOPR9994.JPG,Predator,ALLFISHDATA/Predator camera/DCIM/101GOPRO,45.5,119.9,low,high,0.000,none,0,0.000000,no
ALLFISHDATA/Predator camera/DCIM/102GOPRO/GOPR0036.JPG,ALLFISHDATA,Predator camera/DCIM/102GOPRO/GOPR0036.JPG,Predator,ALLFISHDATA/Predator camera/DCIM/102GOPRO,42.1,125.2,low,high,0.254,mid,1,0.004031,no
ALLFISHDATA/Predator camera/DCIM/102GOPRO/GOPR0037.JPG,ALLFISHDATA,Predator camera/DCIM/102GOPRO/GOPR0037.JPG,Predator,ALLFISHDATA/Predator camera/DCIM/102GOPRO,42.2,126.3,low,high,0.000,none,0,0.000000,no
ALLFISHDATA/Predator camera/DCIM/102GOPRO/GOPR0109.JPG,ALLFISHDATA,Predator camera/DCIM/102GOPRO/GOPR0109.JPG,Predator,ALLFISHDATA/Predator camera/DCIM/102GOPRO,42.0,120.7,low,high,0.204,low,1,0.009163,no
ALLFISHDATA/Predator camera/DCIM/102GOPRO/GOPR0217.JPG,ALLFISHDATA,Predator camera/DCIM/102GOPRO/GOPR0217.JPG,Predator,ALLFISHDATA/Predator camera/DCIM/102GOPRO,40.7,134.9,low,high,0.591,high,3,0.008700,no
ALLFISHDATA/Predator camera/DCIM/102GOPRO/GOPR0262.JPG,ALLFISHDATA,Predator camera/DCIM/102GOPRO/GOPR0262.JPG,Predator,ALLFISHDATA/Predator camera/DCIM/102GOPRO,59.0,129.2,mid,high,0.623,high,4,0.006804,no
